Atoms,Orbital,Embeddings
Cs,3p3/2,"[-0.77948225 -0.9325828   1.6795201   1.532715   -0.34293234 -0.00775957
 -0.29421717 -0.42939728 -0.49617118  0.7703644  -0.07185712 -0.15510312
  0.30962458 -0.5853196   1.1231319   0.43714783  0.2109758   0.02634097
 -0.2019822   0.35392377  0.62613606  1.1156057   0.10847308  0.01474644
 -0.61530083  0.19294931 -1.5213329  -0.6260349   0.0496939   0.20076264]"
Kr,3p3/2,"[-1.5876207  -1.7111497   0.4604249   0.79925007  1.579516   -0.51627344
 -0.9033564  -1.6709877   1.2654569  -1.5824443   1.223402   -2.0324993
 -1.5782648   0.75330985 -0.31074423  1.4281751   1.264143   -1.7461776
  1.9531014  -1.2477015   0.9857874   1.8723038   0.28969362 -1.7074592
  1.5466259   1.8999306   1.2580382  -1.6150075  -1.5257397   1.6415528 ]"
Rb,3p3/2,"[-0.40624893 -0.84745     1.9218994   1.7719162   0.15449393  0.35209098
 -0.13299263 -0.5395241   0.01335969  0.1663351  -0.43595052 -0.28120196
  0.25228122 -0.48075727  0.79477096  0.7503119  -0.28418112 -0.5104196
 -0.24726932  0.07622366  0.08449887 -0.09793656 -0.12768044 -0.25656417
  0.27238843  0.24600452 -1.098099   -0.66222095 -0.6228792  -0.3164318 ]"
Sr,3p3/2,"[-0.7273643  -0.5515841   1.2034985   0.4030687  -0.7675971   0.24639907
  0.01523985 -0.494186    0.22528747  0.21988997 -0.6092402  -0.35215497
  0.13444148 -0.28711075 -0.27067003  0.9915211   0.10962407  0.41917422
  0.16603577 -0.14984077  0.43679458  0.04506846  0.27030236 -0.06973876
 -0.3181737  -0.6424618   0.82187665 -1.0410528  -0.03458598 -1.0994035 ]"
Xe,3p3/2,"[-1.1453048  -1.715546    1.1435703  -0.10289343  1.0366342  -1.2910216
 -0.84653956  0.08841752  1.6043609  -0.4031985  -1.9670552  -0.80938494
 -0.4510527  -0.58970404  2.398835    0.06992076  0.34452653 -0.40432715
  1.0081371  -0.691609   -0.03488582  1.1171253   0.1274791  -1.2710567
 -0.7637525   0.25188482  0.13465121  0.49461317 -0.46429944 -0.00911425]"
Zn,3p3/2,"[ 0.2511854  -0.1017188   0.1273799  -0.4444911   0.7150457   0.6012529
  0.70784944  0.3250245   0.678362    0.6338882  -0.21012755  0.17399293
 -1.0111483  -0.11482576  0.37800172 -0.21531367  0.2419698   0.02242739
  0.13590088  0.27773502  0.53577495 -0.9879118   0.5735091  -1.0294687
  0.45139     0.263667    0.18872723 -0.52571094 -0.35679734 -0.244229  ]"
As,3s,"[-0.880535   -0.18752626  0.16856124 -0.03302502  0.46079853  0.7672251
  0.04461806  0.50512546 -0.4525071   0.4352761  -0.90857476 -0.91107965
  0.1748472   0.09251296 -0.06402036  0.07471279  0.6500809   0.10950307
  1.1903975   0.21769628  0.8184277  -0.38367748 -0.4580892   0.49359223
  1.0940279   0.82278913  0.03946091  1.116414    0.1255422   0.18201153]"
Br,3s,"[-0.0325392  -0.04456    -0.4235618   0.18625826 -0.14105898 -0.86541903
 -0.14267495  0.67755884 -0.54565114 -0.3821288   0.6186875  -0.17833793
  0.05503155 -0.23705788  0.5526909  -0.26272926  0.5562961  -0.34544152
 -0.02304076 -0.6712572  -0.05685606  0.02032538 -0.556308    0.42367047
  0.75912684 -0.47366226  0.04337718  0.6318945   0.02464842 -0.98091274]"
Co,3s,"[-0.14512977 -0.28582755 -0.88882834 -0.3185342   0.8636012  -0.33375877
  0.39816955 -0.5023585   1.3217033  -0.08192471  1.11229     0.1016027
  1.021283   -0.00289892  0.82399076  0.48600277 -0.38430378  0.90252125
 -0.1351097  -0.29942718  0.5792829  -0.11698006 -0.9044221  -0.13745792
 -0.19204019  0.51884586  0.16513771 -0.4256165   0.45165074  0.05883593]"
Cu,3s,"[-0.8295199  -0.73856086 -0.31420434 -0.2606482  -0.24477892  0.35801378
  0.10841326  0.43214786 -0.44413418  0.30333078  0.82294834  0.33822215
 -0.08455428  0.25737217  0.64166945  0.39360797  0.35761625  0.09884139
  0.46338454 -0.47632706  0.91074234 -0.6070752   0.08793645  0.10119018
 -0.8791724   0.3015016   0.08682672 -0.415997    0.37609792  0.6461942 ]"
Kr,3s,"[-1.5876207  -1.7111497   0.4604249   0.79925007  1.579516   -0.51627344
 -0.9033564  -1.6709877   1.2654569  -1.5824443   1.223402   -2.0324993
 -1.5782648   0.75330985 -0.31074423  1.4281751   1.264143   -1.7461776
  1.9531014  -1.2477015   0.9857874   1.8723038   0.28969362 -1.7074592
  1.5466259   1.8999306   1.2580382  -1.6150075  -1.5257397   1.6415528 ]"
Ni,3s,"[ 0.87504256 -0.67802346 -0.8381107   0.45683038  0.7160646  -0.2307209
  0.63239    -0.4167713   0.44465703  0.2876319   0.25109586 -0.2392422
  0.21236175  0.88241434 -0.51447904  0.58940643 -0.03582207  0.20136474
  0.87094784  0.0036402   0.68295985 -0.618044   -1.138233   -0.05842797
 -0.13798176 -0.39467695 -0.28263092 -0.39112473 -0.17283428  0.5541834 ]"
Xe,3s,"[-1.1453048  -1.715546    1.1435703  -0.10289343  1.0366342  -1.2910216
 -0.84653956  0.08841752  1.6043609  -0.4031985  -1.9670552  -0.80938494
 -0.4510527  -0.58970404  2.398835    0.06992076  0.34452653 -0.40432715
  1.0081371  -0.691609   -0.03488582  1.1171253   0.1274791  -1.2710567
 -0.7637525   0.25188482  0.13465121  0.49461317 -0.46429944 -0.00911425]"
Te,4d,"[-0.4535957   0.02645757 -0.5677115   0.38519394  0.04516947 -0.13872834
  0.03476179  0.12904665 -0.49273968 -0.49492434  0.21018341 -0.67339003
 -0.06301269 -0.24600853  0.47562373 -0.6342587   1.1179355   0.63855535
  0.31606716 -1.1121943   0.1216967  -0.08251385 -0.05622132 -0.16839246
  0.5063502  -0.47468966 -0.50220984  0.83901227 -0.13427794  0.00327975]"
Ba,4d5/2,"[-0.599164   -0.9040775   1.4906873   0.860932   -0.34018105 -0.03491898
 -0.08090455  0.75428253 -0.13580818  0.16141246 -0.56647867  0.03095417
 -0.21310744 -0.09167393  0.5020301   0.6046871   0.0653576   1.1419156
 -0.2412822  -0.22765136  0.17381832  1.0795453  -0.10864636 -0.60004544
 -0.8320511  -0.18249284  1.0283072  -0.7579253  -0.02882657  0.46385473]"
Cd,4d5/2,"[ 0.92661244 -0.373322   -0.18035465  0.1446749  -0.68215823  0.9620955
 -0.37867638  0.9558669   0.4878676  -0.14843477 -0.81662345 -0.1503803
 -0.6872444  -0.18450336 -0.07770785  0.7611609   0.28465718  0.37470397
  1.0204462  -1.0571246   0.3048404  -0.00190179  0.20287912  0.3972471
 -1.156968   -0.53680485 -0.7390401  -1.070458   -0.68393147 -0.00781465]"
Hg,4d5/2,"[-0.6705494  -0.26211777  0.32463592  0.5224506  -0.14478365  1.0409479
 -0.8152774   0.9944265  -0.48856494  0.6554805  -0.30656546  0.4617757
 -0.50504917 -0.81288487  1.2177501   0.9386013  -0.5640395  -0.36833712
  0.7942069  -0.80316955  0.01686277 -0.24540997  0.6228647  -0.09547096
  0.01021507 -0.0931021   0.28708267 -0.4387447  -0.95550716 -0.41143918]"
I,4d5/2,"[-0.28647035 -0.25440428  0.02002241 -0.05151631  0.06520484  0.00567349
 -0.4399295   0.4233564  -0.3840045  -0.7680693   0.677177   -1.0579737
 -0.05023895  0.07485528  0.34572542 -0.32269922  0.6690843   0.37121582
  0.7864568  -1.0747256   0.3991079  -0.07661659 -0.35574144  0.10097077
  0.36375824 -1.3225819  -0.18585637  0.5102826  -0.07678538 -1.1664985 ]"
In,4d5/2,"[-0.42749786  0.5200354  -0.8185105   0.28991324 -0.8287868  -0.02723718
  0.9320153   0.62277716 -0.12254773 -0.6092121  -1.0360587  -0.17707959
 -0.26654658 -0.1061754   0.16366749  0.4346821  -0.3299688   0.2923043
  0.6931847  -0.86049813  0.49452332 -1.4539673   0.8180911  -0.39879856
 -1.2770349   0.94911844 -0.5599471   0.39820784 -0.2715807  -0.4303391 ]"
Sn,4d5/2,"[-0.64672625  0.29132047 -0.5423209  -0.09800173  0.42685974  0.32403174
 -0.0069718   0.79093903  0.11620335 -0.17185757 -1.0650688   0.11994065
  0.974332    0.04732427  0.4332725  -0.7151362   0.02224693 -0.8363128
  0.45557415 -0.2878645   0.60399675 -1.0085874   0.6044165  -0.8466915
 -0.4699077   0.49217156 -0.14809237 -0.19121408  0.20234255 -0.21532112]"
Xe,4d5/2,"[-1.1453048  -1.715546    1.1435703  -0.10289343  1.0366342  -1.2910216
 -0.84653956  0.08841752  1.6043609  -0.4031985  -1.9670552  -0.80938494
 -0.4510527  -0.58970404  2.398835    0.06992076  0.34452653 -0.40432715
  1.0081371  -0.691609   -0.03488582  1.1171253   0.1274791  -1.2710567
 -0.7637525   0.25188482  0.13465121  0.49461317 -0.46429944 -0.00911425]"
Bi,4f7/2,"[-0.3404954   1.1739187  -0.22158843  1.2548424   0.7984383   1.1251949
  1.0261675   0.2565943  -0.6051226  -0.5283261  -0.82825243 -0.51558423
 -0.16378567 -0.14218925  0.54653215 -0.27797142  0.12445025 -0.13772275
  0.8018778  -1.1346285   0.05867622 -0.23692968  0.13946123 -0.0129416
 -1.2026739  -0.17952281 -0.13030666 -0.5785219  -0.0832242  -0.6169414 ]"
Hg,4f7/2,"[-0.6705494  -0.26211777  0.32463592  0.5224506  -0.14478365  1.0409479
 -0.8152774   0.9944265  -0.48856494  0.6554805  -0.30656546  0.4617757
 -0.50504917 -0.81288487  1.2177501   0.9386013  -0.5640395  -0.36833712
  0.7942069  -0.80316955  0.01686277 -0.24540997  0.6228647  -0.09547096
  0.01021507 -0.0931021   0.28708267 -0.4387447  -0.95550716 -0.41143918]"
Pb,4f7/2,"[ 0.21421437  0.6726319   0.62594324  0.13480712  0.3998293   0.6383273
  0.5120854   0.664822   -0.3022149  -0.15697232 -0.01779346 -1.0826013
 -0.71522295 -0.61155665  1.0425608   0.35241205  0.571247   -0.8766705
  0.42008218 -0.43348098 -0.10359349 -1.0682322   0.757333   -0.4370817
 -1.5570922   0.20928816 -0.29081756 -0.87487787 -0.39796212 -0.3919035 ]"
Re,4f7/2,"[-0.7259588   0.40277573  0.221544    0.16856262  0.6466925   0.73575187
  0.11284442 -0.70174474 -0.1974766   0.08131648  1.7714074   0.14113365
  0.34359428 -0.90900606 -0.0022795   0.81897604  0.03327782  0.07414821
 -0.05519182  0.5583003  -1.4120908   0.28470066  0.10409462 -0.08574896
 -0.7766197  -0.08681583  0.08816914 -0.15956391 -0.32949835  1.0165931 ]"
Tl,4f7/2,"[-1.2079868   0.16289783  0.10998537  0.82700807  0.29129422  0.74863213
  0.36888865  0.98311     0.12751473 -0.8135403  -0.83467305 -0.39259636
 -0.33082166 -0.06412934  0.65549994 -0.06349366  0.54536885 -0.2064673
  0.19874303 -0.17526187 -0.6869754  -0.29764387  0.4397905   0.00739802
 -0.00394261 -0.30213127 -1.258808   -0.21200612 -1.2774168   0.21649976]"
U,4f7/2,"[-0.5384548   0.2457584   0.7026513   0.5559769   0.6642727  -0.33112448
  0.37588567 -0.7575867   0.03540422  0.29147777 -0.31210494  0.52169853
  0.2163055   0.8021353  -0.8535801  -0.07308526  1.1011275   1.2567732
 -1.1536684   0.13172024  0.5404794   1.1702895   0.37053257 -1.415469
 -0.14285566  0.17623138  1.7030594   0.16094643  0.2688682   0.7384304 ]"
W,4f7/2,"[-0.21817562 -0.78514063  0.16143209  0.856893    0.76274896  1.0270503
  0.8587045  -1.2765326   0.49788252  0.7460058   0.31109655  0.14275803
  0.21802954 -0.3549023   0.59109825  0.5196694   0.61975396 -0.11654177
 -0.45501155 -0.6677796  -0.42990384  0.71683544 -0.00259136  0.2750774
 -0.9477835  -0.22040753  0.04545895  1.444469    0.2939566   0.42096898]"
Hg,4p3/2,"[-0.6705494  -0.26211777  0.32463592  0.5224506  -0.14478365  1.0409479
 -0.8152774   0.9944265  -0.48856494  0.6554805  -0.30656546  0.4617757
 -0.50504917 -0.81288487  1.2177501   0.9386013  -0.5640395  -0.36833712
  0.7942069  -0.80316955  0.01686277 -0.24540997  0.6228647  -0.09547096
  0.01021507 -0.0931021   0.28708267 -0.4387447  -0.95550716 -0.41143918]"
I,4p3/2,"[-0.28647035 -0.25440428  0.02002241 -0.05151631  0.06520484  0.00567349
 -0.4399295   0.4233564  -0.3840045  -0.7680693   0.677177   -1.0579737
 -0.05023895  0.07485528  0.34572542 -0.32269922  0.6690843   0.37121582
  0.7864568  -1.0747256   0.3991079  -0.07661659 -0.35574144  0.10097077
  0.36375824 -1.3225819  -0.18585637  0.5102826  -0.07678538 -1.1664985 ]"
Sr,4p3/2,"[-0.7273643  -0.5515841   1.2034985   0.4030687  -0.7675971   0.24639907
  0.01523985 -0.494186    0.22528747  0.21988997 -0.6092402  -0.35215497
  0.13444148 -0.28711075 -0.27067003  0.9915211   0.10962407  0.41917422
  0.16603577 -0.14984077  0.43679458  0.04506846  0.27030236 -0.06973876
 -0.3181737  -0.6424618   0.82187665 -1.0410528  -0.03458598 -1.0994035 ]"
Xe,4p3/2,"[-1.1453048  -1.715546    1.1435703  -0.10289343  1.0366342  -1.2910216
 -0.84653956  0.08841752  1.6043609  -0.4031985  -1.9670552  -0.80938494
 -0.4510527  -0.58970404  2.398835    0.06992076  0.34452653 -0.40432715
  1.0081371  -0.691609   -0.03488582  1.1171253   0.1274791  -1.2710567
 -0.7637525   0.25188482  0.13465121  0.49461317 -0.46429944 -0.00911425]"
Hg,4s,"[-0.6705494  -0.26211777  0.32463592  0.5224506  -0.14478365  1.0409479
 -0.8152774   0.9944265  -0.48856494  0.6554805  -0.30656546  0.4617757
 -0.50504917 -0.81288487  1.2177501   0.9386013  -0.5640395  -0.36833712
  0.7942069  -0.80316955  0.01686277 -0.24540997  0.6228647  -0.09547096
  0.01021507 -0.0931021   0.28708267 -0.4387447  -0.95550716 -0.41143918]"
I,4s,"[-0.28647035 -0.25440428  0.02002241 -0.05151631  0.06520484  0.00567349
 -0.4399295   0.4233564  -0.3840045  -0.7680693   0.677177   -1.0579737
 -0.05023895  0.07485528  0.34572542 -0.32269922  0.6690843   0.37121582
  0.7864568  -1.0747256   0.3991079  -0.07661659 -0.35574144  0.10097077
  0.36375824 -1.3225819  -0.18585637  0.5102826  -0.07678538 -1.1664985 ]"
Xe,4s,"[-1.1453048  -1.715546    1.1435703  -0.10289343  1.0366342  -1.2910216
 -0.84653956  0.08841752  1.6043609  -0.4031985  -1.9670552  -0.80938494
 -0.4510527  -0.58970404  2.398835    0.06992076  0.34452653 -0.40432715
  1.0081371  -0.691609   -0.03488582  1.1171253   0.1274791  -1.2710567
 -0.7637525   0.25188482  0.13465121  0.49461317 -0.46429944 -0.00911425]"
Hg,5d5/2,"[-0.6705494  -0.26211777  0.32463592  0.5224506  -0.14478365  1.0409479
 -0.8152774   0.9944265  -0.48856494  0.6554805  -0.30656546  0.4617757
 -0.50504917 -0.81288487  1.2177501   0.9386013  -0.5640395  -0.36833712
  0.7942069  -0.80316955  0.01686277 -0.24540997  0.6228647  -0.09547096
  0.01021507 -0.0931021   0.28708267 -0.4387447  -0.95550716 -0.41143918]"
Pb,5d5/2,"[ 0.21421437  0.6726319   0.62594324  0.13480712  0.3998293   0.6383273
  0.5120854   0.664822   -0.3022149  -0.15697232 -0.01779346 -1.0826013
 -0.71522295 -0.61155665  1.0425608   0.35241205  0.571247   -0.8766705
  0.42008218 -0.43348098 -0.10359349 -1.0682322   0.757333   -0.4370817
 -1.5570922   0.20928816 -0.29081756 -0.87487787 -0.39796212 -0.3919035 ]"
Hg,5p3/2,"[-0.6705494  -0.26211777  0.32463592  0.5224506  -0.14478365  1.0409479
 -0.8152774   0.9944265  -0.48856494  0.6554805  -0.30656546  0.4617757
 -0.50504917 -0.81288487  1.2177501   0.9386013  -0.5640395  -0.36833712
  0.7942069  -0.80316955  0.01686277 -0.24540997  0.6228647  -0.09547096
  0.01021507 -0.0931021   0.28708267 -0.4387447  -0.95550716 -0.41143918]"
Hg,5s,"[-0.6705494  -0.26211777  0.32463592  0.5224506  -0.14478365  1.0409479
 -0.8152774   0.9944265  -0.48856494  0.6554805  -0.30656546  0.4617757
 -0.50504917 -0.81288487  1.2177501   0.9386013  -0.5640395  -0.36833712
  0.7942069  -0.80316955  0.01686277 -0.24540997  0.6228647  -0.09547096
  0.01021507 -0.0931021   0.28708267 -0.4387447  -0.95550716 -0.41143918]"
