Atoms,Embeddings
Rb,"[-0.7710023  -1.0938307   2.493649    2.1732655   0.10125767  0.2535665
 -0.15342404 -0.649251    0.05960485  0.5395113  -0.6152506  -0.4285279
  0.26890945 -0.5898441   1.0551242   0.98224974 -0.18497962 -0.4031103
 -0.30147836  0.03725857  0.16862038  0.17369406 -0.14902529 -0.3349855
  0.12160946  0.19944969 -1.4272447  -0.9313157  -0.84133863 -0.34626237]"
Sr,"[-0.84037554 -0.81234205  1.6954681   0.592851   -0.94678617  0.31560534
  0.01739687 -0.5648792   0.23750408  0.25044304 -0.8602052  -0.49210435
  0.08836246 -0.32177475 -0.1857495   1.1541429   0.15510844  0.6664592
  0.20384648 -0.15905826  0.72069657  0.19922636  0.3635825  -0.27196595
 -0.39797676 -0.89981925  0.96636665 -1.414082    0.05388453 -1.1861848 ]"
Xe,"[-1.38775    -1.9702528   1.1963487  -0.03500295  1.2135577  -1.4295496
 -1.0493629   0.0820042   1.658596   -0.7228823  -1.7825172  -1.2355216
 -0.6058153  -0.556947    2.570262    0.09998939  0.6405741  -0.48881245
  1.3666425  -1.0852387   0.12384945  1.2863134   0.05711265 -1.4201435
 -0.5570594   0.11756071  0.19519812  0.5323034  -0.62026244 -0.1573457 ]"
Zn,"[ 0.37986913 -0.24244133 -0.01070184 -0.4211103   0.54377806  0.878306
  0.61016154  0.5353044   0.84294736  0.5823973  -0.3994246   0.1760591
 -1.1765412  -0.2112493   0.31742066 -0.10454385  0.29496232  0.13317472
  0.34631062  0.04641241  0.660173   -1.0460087   0.6266307  -0.97108036
  0.18609762  0.19638756  0.01000725 -0.7101629  -0.49225813 -0.21241474]"
As,"[-0.9931948  -0.13848704  0.23141277 -0.02240827  0.7520049   0.9078491
  0.02363907  0.6303165  -0.44670475  0.49648315 -1.137298   -1.0605651
  0.13370863 -0.12855467 -0.16315165  0.04075363  0.69555265  0.07084271
  1.2813312   0.04646823  1.0861713  -0.6604749  -0.59383863  0.5316174
  0.9608112   0.8386546   0.06692728  1.3411847   0.22782446  0.19201791]"
Br,"[-0.37815627 -0.4033872  -0.34655058  0.35731176  0.19606987 -1.032976
 -0.3890096   0.38944587 -0.3279966  -0.7223995   0.8934763  -0.624063
 -0.2941057  -0.09809549  0.5284777  -0.0027498   0.8368526  -0.7195253
  0.38120547 -0.9882395   0.14715204  0.37239125 -0.5246136   0.08961177
  1.0781382  -0.17366624  0.26202938  0.379555   -0.2791161  -0.72811794]"
Co,"[ 0.03020398 -0.4516087  -1.1344341  -0.24396949  1.0974272  -0.37554336
  0.49656516 -0.65564144  1.4594464  -0.01619728  1.2546372   0.02534717
  1.1446958   0.12284921  0.7425223   0.704993   -0.38684094  0.94876105
  0.04092503 -0.31899387  0.69430774 -0.2979911  -1.1811765  -0.21407107
 -0.14870873  0.43398038  0.15911025 -0.5708916   0.36433667  0.2682429 ]"
Cu,"[-0.69554573 -0.94723237 -0.4506381  -0.20797268 -0.09699158  0.37109616
  0.24280372  0.39307195 -0.3780357   0.31308904  0.84010637  0.30692214
 -0.10211053  0.3868848   0.64212537  0.54657114  0.3847559   0.1531572
  0.70861036 -0.5050925   1.07215    -0.8201699  -0.0506416   0.10930415
 -0.9416696   0.20833881  0.03953992 -0.5696017   0.21314111  0.8320643 ]"
Kr,"[-1.7769227e+00 -1.9429737e+00  4.6858525e-01  8.7460488e-01
  1.7165359e+00 -8.5848272e-01 -1.0854135e+00 -1.5672070e+00
  1.3043940e+00 -1.7913630e+00  1.2898390e+00 -2.2678902e+00
 -1.6969401e+00  6.8990433e-01 -1.6413033e-03  1.4254454e+00
  1.4926461e+00 -1.9382249e+00  2.1378009e+00 -1.5544834e+00
  1.0275921e+00  2.0310633e+00  1.7758411e-01 -1.7889963e+00
  1.7336947e+00  1.8424798e+00  1.3144704e+00 -1.4712207e+00
 -1.6260784e+00  1.4533708e+00]"
Ni,"[ 0.7479061  -0.9349228  -1.027398    0.39619184  0.7698794  -0.181749
  0.7216244  -0.36722985  0.42316556  0.3387894   0.5316905  -0.16250381
  0.2641974   0.9587899  -0.33163297  0.7808112   0.01749821  0.28943437
  1.0447176  -0.11396382  0.94281834 -0.82911307 -1.2336435  -0.07035863
 -0.33004355 -0.34664133 -0.2538163  -0.5877819  -0.13958433  0.7788725 ]"
Xe,"[-1.38775    -1.9702528   1.1963487  -0.03500295  1.2135577  -1.4295496
 -1.0493629   0.0820042   1.658596   -0.7228823  -1.7825172  -1.2355216
 -0.6058153  -0.556947    2.570262    0.09998939  0.6405741  -0.48881245
  1.3666425  -1.0852387   0.12384945  1.2863134   0.05711265 -1.4201435
 -0.5570594   0.11756071  0.19519812  0.5323034  -0.62026244 -0.1573457 ]"
Te,"[-0.6859466   0.06510595 -0.8748591   0.53702253  0.25016084 -0.07704711
  0.03499752  0.33830565 -0.57897794 -0.65483415  0.02988842 -0.86107886
 -0.25819728 -0.37989253  0.5620674  -0.6378331   1.256015    0.639448
  0.34271383 -1.336083    0.30267823 -0.23415951 -0.03654317 -0.20259818
  0.47960716 -0.48967773 -0.57754064  0.94323623 -0.10273248 -0.138319  ]"
Ba,"[-0.8537012  -1.1849942   2.059021    1.1646547  -0.5670767   0.04573549
 -0.09454424  0.5732713  -0.12144049  0.28024188 -0.77819896 -0.10232321
 -0.15642372 -0.21950486  0.5813696   0.91278386  0.10611349  1.2634546
 -0.23760372 -0.23645009  0.37500083  1.2091165  -0.03094625 -0.67334217
 -0.949457   -0.34664774  1.0683955  -1.1356752  -0.03604709  0.2266216 ]"
Cd,"[ 0.9332704  -0.42019287 -0.24498887  0.08233444 -0.64453006  1.1812456
 -0.20332184  1.143214    0.64479536 -0.10468168 -1.0049404  -0.1174832
 -0.9648555  -0.27224615  0.03767423  0.78697234  0.32392734  0.43053356
  1.1757219  -1.1377649   0.48094153 -0.3539816   0.4293266   0.18541294
 -1.2355889  -0.43121648 -0.79190063 -1.205032   -0.8672719  -0.05439508]"
Hg,"[-0.59634084 -0.3509494   0.28662896  0.61127007 -0.2778654   1.2896774
 -0.8562746   1.2880726  -0.39770395  0.5231451  -0.57052565  0.4275004
 -0.7020472  -0.85357565  1.3102691   1.1141939  -0.48594147 -0.31731272
  1.062967   -1.0532343   0.05428778 -0.31478694  0.71196556 -0.0166337
 -0.26342982 -0.20448875  0.03678936 -0.66831464 -1.2364216  -0.40141654]"
I,"[-0.5376321  -0.60178494  0.19777332 -0.03981031  0.26683754 -0.3337772
 -0.62453586  0.49604315 -0.11473969 -0.89319164  0.34325102 -1.2562586
 -0.14211518 -0.0702935   0.87554634 -0.34092423  0.8223702   0.27861917
  1.0018376  -1.3008024   0.39486036  0.14272147 -0.37657228 -0.12854338
  0.2880258  -1.3157207  -0.16537233  0.67548615 -0.17745508 -1.236422  ]"
In,"[-0.48240244  0.35525572 -1.0620085   0.31694558 -0.9249033   0.2396453
  0.8413864   0.7636697   0.11812776 -0.70152575 -1.259815   -0.12991734
 -0.35906988 -0.2948776   0.002956    0.33973348 -0.34104466  0.40093744
  0.75615317 -0.95268816  0.59985036 -1.5690883   0.8880554  -0.45366937
 -1.3765584   0.99111557 -0.75822055  0.41325724 -0.38654384 -0.3928846 ]"
Sn,"[-0.6276351   0.46719456 -0.7066296  -0.0523323   0.36367422  0.4924809
  0.13746232  0.93569946  0.1473438  -0.36487818 -1.2240883  -0.09188086
  0.7557231  -0.20652547  0.4876999  -0.7047247  -0.06769533 -0.73027366
  0.4761199  -0.39044765  0.7825854  -1.3316827   0.5447133  -0.95524687
 -0.56672704  0.65674525 -0.15490884  0.05453542  0.12533253 -0.2197426 ]"
Xe,"[-1.38775    -1.9702528   1.1963487  -0.03500295  1.2135577  -1.4295496
 -1.0493629   0.0820042   1.658596   -0.7228823  -1.7825172  -1.2355216
 -0.6058153  -0.556947    2.570262    0.09998939  0.6405741  -0.48881245
  1.3666425  -1.0852387   0.12384945  1.2863134   0.05711265 -1.4201435
 -0.5570594   0.11756071  0.19519812  0.5323034  -0.62026244 -0.1573457 ]"
Bi,"[-0.5495379   1.2708526  -0.4721653   1.3962559   1.054474    1.3674526
  1.1226928   0.46714252 -0.6896337  -0.73347867 -1.0902803  -0.7620822
 -0.3950001  -0.2858616   0.7301731  -0.27084526  0.22275662 -0.25685668
  0.83801657 -1.3619195   0.2371792  -0.41681108  0.28552943 -0.14909504
 -1.4115026  -0.1073906  -0.23236132 -0.59730107 -0.08484775 -0.75750256]"
Hg,"[-0.59634084 -0.3509494   0.28662896  0.61127007 -0.2778654   1.2896774
 -0.8562746   1.2880726  -0.39770395  0.5231451  -0.57052565  0.4275004
 -0.7020472  -0.85357565  1.3102691   1.1141939  -0.48594147 -0.31731272
  1.062967   -1.0532343   0.05428778 -0.31478694  0.71196556 -0.0166337
 -0.26342982 -0.20448875  0.03678936 -0.66831464 -1.2364216  -0.40141654]"
Pb,"[ 0.05627601  0.9334899   0.52962524  0.40462893  0.60379416  0.9129776
  0.73004013  0.8083223  -0.4126432  -0.30646193 -0.29643163 -1.1937201
 -0.6959845  -0.64246756  1.2043632   0.24599142  0.61220145 -0.97198236
  0.61831504 -0.69394445 -0.05697769 -1.2048318   0.84782296 -0.506519
 -1.8382535   0.20739974 -0.3664981  -1.0065284  -0.43373147 -0.5303191 ]"
Re,"[-0.8328791   0.43256387  0.3745209   0.21593615  0.8965714   0.79421324
  0.21570417 -1.0288035  -0.05187739  0.03094143  2.1331773   0.32527983
  0.46425843 -0.90945387  0.06010658  0.98829144 -0.00677789  0.23545457
 -0.02207268  0.62638426 -1.6731325   0.3848725  -0.02018674 -0.25410903
 -0.96379673  0.0188048   0.08435947 -0.0442449  -0.45679742  1.124122  ]"
Tl,"[-1.3454227   0.23728007 -0.06797801  0.94087064  0.10677502  0.9086284
  0.49314502  1.243304    0.10930821 -0.91602045 -1.1292484  -0.4179728
 -0.4619074  -0.2019671   0.7791001   0.08512928  0.45514664 -0.17902169
  0.43697393 -0.45525718 -0.5620589  -0.66584253  0.6904117  -0.10321617
 -0.34150058 -0.10868683 -1.4071512  -0.2002389  -1.4428368   0.09243009]"
U,"[-0.5921373   0.26523542  0.781796    0.5661137   0.62998015 -0.3096754
  0.4190307  -0.7971887   0.15232386  0.4828881  -0.45031846  0.6025762
  0.1655623   0.80560094 -0.9981692  -0.01037164  1.2144929   1.4216977
 -1.1883163  -0.11656536  0.43475556  1.5135243   0.23309803 -1.3513712
 -0.17586266  0.31737357  1.7676673   0.06157006  0.28762496  0.94508845]"
W,"[-0.35895336 -0.7733106   0.13381106  1.0982956   0.9313663   1.2861176
  1.1360009  -1.5821366   0.54784185  0.85493094  0.65626544  0.22232443
  0.43595374 -0.46236604  0.4273969   0.8213148   0.6656483   0.00543912
 -0.69816643 -0.64332616 -0.48945063  0.806265    0.05764002  0.08739743
 -1.135466   -0.21238117  0.04905013  1.6191053   0.3293723   0.7144048 ]"
Hg,"[-0.59634084 -0.3509494   0.28662896  0.61127007 -0.2778654   1.2896774
 -0.8562746   1.2880726  -0.39770395  0.5231451  -0.57052565  0.4275004
 -0.7020472  -0.85357565  1.3102691   1.1141939  -0.48594147 -0.31731272
  1.062967   -1.0532343   0.05428778 -0.31478694  0.71196556 -0.0166337
 -0.26342982 -0.20448875  0.03678936 -0.66831464 -1.2364216  -0.40141654]"
I,"[-0.5376321  -0.60178494  0.19777332 -0.03981031  0.26683754 -0.3337772
 -0.62453586  0.49604315 -0.11473969 -0.89319164  0.34325102 -1.2562586
 -0.14211518 -0.0702935   0.87554634 -0.34092423  0.8223702   0.27861917
  1.0018376  -1.3008024   0.39486036  0.14272147 -0.37657228 -0.12854338
  0.2880258  -1.3157207  -0.16537233  0.67548615 -0.17745508 -1.236422  ]"
Sr,"[-0.84037554 -0.81234205  1.6954681   0.592851   -0.94678617  0.31560534
  0.01739687 -0.5648792   0.23750408  0.25044304 -0.8602052  -0.49210435
  0.08836246 -0.32177475 -0.1857495   1.1541429   0.15510844  0.6664592
  0.20384648 -0.15905826  0.72069657  0.19922636  0.3635825  -0.27196595
 -0.39797676 -0.89981925  0.96636665 -1.414082    0.05388453 -1.1861848 ]"
Xe,"[-1.38775    -1.9702528   1.1963487  -0.03500295  1.2135577  -1.4295496
 -1.0493629   0.0820042   1.658596   -0.7228823  -1.7825172  -1.2355216
 -0.6058153  -0.556947    2.570262    0.09998939  0.6405741  -0.48881245
  1.3666425  -1.0852387   0.12384945  1.2863134   0.05711265 -1.4201435
 -0.5570594   0.11756071  0.19519812  0.5323034  -0.62026244 -0.1573457 ]"
Hg,"[-0.59634084 -0.3509494   0.28662896  0.61127007 -0.2778654   1.2896774
 -0.8562746   1.2880726  -0.39770395  0.5231451  -0.57052565  0.4275004
 -0.7020472  -0.85357565  1.3102691   1.1141939  -0.48594147 -0.31731272
  1.062967   -1.0532343   0.05428778 -0.31478694  0.71196556 -0.0166337
 -0.26342982 -0.20448875  0.03678936 -0.66831464 -1.2364216  -0.40141654]"
I,"[-0.5376321  -0.60178494  0.19777332 -0.03981031  0.26683754 -0.3337772
 -0.62453586  0.49604315 -0.11473969 -0.89319164  0.34325102 -1.2562586
 -0.14211518 -0.0702935   0.87554634 -0.34092423  0.8223702   0.27861917
  1.0018376  -1.3008024   0.39486036  0.14272147 -0.37657228 -0.12854338
  0.2880258  -1.3157207  -0.16537233  0.67548615 -0.17745508 -1.236422  ]"
Xe,"[-1.38775    -1.9702528   1.1963487  -0.03500295  1.2135577  -1.4295496
 -1.0493629   0.0820042   1.658596   -0.7228823  -1.7825172  -1.2355216
 -0.6058153  -0.556947    2.570262    0.09998939  0.6405741  -0.48881245
  1.3666425  -1.0852387   0.12384945  1.2863134   0.05711265 -1.4201435
 -0.5570594   0.11756071  0.19519812  0.5323034  -0.62026244 -0.1573457 ]"
Hg,"[-0.59634084 -0.3509494   0.28662896  0.61127007 -0.2778654   1.2896774
 -0.8562746   1.2880726  -0.39770395  0.5231451  -0.57052565  0.4275004
 -0.7020472  -0.85357565  1.3102691   1.1141939  -0.48594147 -0.31731272
  1.062967   -1.0532343   0.05428778 -0.31478694  0.71196556 -0.0166337
 -0.26342982 -0.20448875  0.03678936 -0.66831464 -1.2364216  -0.40141654]"
Pb,"[ 0.05627601  0.9334899   0.52962524  0.40462893  0.60379416  0.9129776
  0.73004013  0.8083223  -0.4126432  -0.30646193 -0.29643163 -1.1937201
 -0.6959845  -0.64246756  1.2043632   0.24599142  0.61220145 -0.97198236
  0.61831504 -0.69394445 -0.05697769 -1.2048318   0.84782296 -0.506519
 -1.8382535   0.20739974 -0.3664981  -1.0065284  -0.43373147 -0.5303191 ]"
Hg,"[-0.59634084 -0.3509494   0.28662896  0.61127007 -0.2778654   1.2896774
 -0.8562746   1.2880726  -0.39770395  0.5231451  -0.57052565  0.4275004
 -0.7020472  -0.85357565  1.3102691   1.1141939  -0.48594147 -0.31731272
  1.062967   -1.0532343   0.05428778 -0.31478694  0.71196556 -0.0166337
 -0.26342982 -0.20448875  0.03678936 -0.66831464 -1.2364216  -0.40141654]"
Hg,"[-0.59634084 -0.3509494   0.28662896  0.61127007 -0.2778654   1.2896774
 -0.8562746   1.2880726  -0.39770395  0.5231451  -0.57052565  0.4275004
 -0.7020472  -0.85357565  1.3102691   1.1141939  -0.48594147 -0.31731272
  1.062967   -1.0532343   0.05428778 -0.31478694  0.71196556 -0.0166337
 -0.26342982 -0.20448875  0.03678936 -0.66831464 -1.2364216  -0.40141654]"
