Atoms,Embeddings
Kr,"[-1.644868    1.9334538  -1.5516595   1.1915525   1.9310175  -1.8757588
 -2.1791036  -1.2741745  -1.843316   -1.6997668   1.7438393  -2.037509
  2.3400912   0.9225963   1.5365515   0.87274235  0.69243914  0.51385653
  1.9843924   0.8628547  -1.9218637   1.5686736   0.88207966  0.97436124
 -0.27050504 -1.7963183  -1.9670765   2.022826    1.2526025   1.9492601 ]"
Rb,"[-0.2554179   0.11492322  0.7554729  -0.04654307  1.2218914  -0.5208163
  0.06691604 -0.13202788 -0.31942594  0.04460039  0.04344844 -0.03987179
 -0.0728693   1.4312865   0.46767974 -1.6054616  -0.1984207  -0.2862174
 -0.3470669  -1.6878829  -1.465853    0.25508517 -0.63894665  0.37752962
 -0.31944814 -0.45111138  0.7577558  -0.12334409 -0.69069976  0.03406652]"
Sr,"[ 0.19048221 -0.09054184 -0.05214985  0.03211475  1.5044583   0.06925175
 -0.3089388  -0.9438045  -0.38504174  0.56098783 -0.79230756 -0.12156182
  0.0112202   0.32967448 -0.0594014  -0.84400755 -0.4691912  -0.38454035
 -0.66307795 -0.9588819   0.375835    0.9676032  -0.29648438  0.16575567
  0.9572256  -0.51502717  0.24329461 -0.18000929 -0.9817192  -0.07635314]"
Xe,"[ 0.603269   -0.02752901 -1.0272963   0.4673334   1.7036453  -4.0483255
 -0.6844837  -4.3749714  -3.291036   -2.1108582  -1.7705382   0.6578191
  1.6243137   2.7264001  -0.05429015 -0.6112513  -1.9054217   0.47512963
 -3.51972    -1.5245012  -3.7933843   0.5889413   1.4984124   2.596212
  1.2810893  -1.4167182  -0.9926314  -0.64837843  0.83037734  1.212904  ]"
Zn,"[-0.31951317 -0.38164467  0.83018845 -0.08987346  1.0668538   0.5061565
  0.3016322  -0.8405981  -0.8209875  -0.47824904  0.6990205  -0.5807503
 -0.28350505  0.03446323 -0.06879929  0.36135867  0.40131468  0.29326272
  0.01464072 -0.65494525  0.6284793   0.02905293  0.25327125 -0.4227326
 -0.47963512  0.56380385  0.14222686  0.6602143   0.45318106 -0.12058293]"
As,"[ 1.103111    0.07283758 -0.35090292 -0.9364646   0.08351956 -0.7980946
 -0.41361555 -0.15371841 -1.2394544  -0.21851793 -0.13737522 -0.3537863
 -0.41116202  0.5471524   0.52327406  0.55820835 -0.35598695 -0.12680663
  0.4053249  -0.23856702  0.3346088  -0.19155854  0.0630843  -0.1936028
 -0.08393529 -1.458622    0.04522926  1.036803    1.1238538   0.01657934]"
Br,"[ 0.38501507  0.11732025 -0.8231     -0.30086154 -0.4072067  -0.43594414
 -0.70716035  0.39688537  0.5902443  -0.20364282  0.22043075  0.04663222
 -0.3136803   0.52190095 -0.5772685   0.4695158  -0.26035166 -0.29873082
  0.27973685  0.00804145 -0.5127692  -0.54109466 -0.2072906  -0.06400683
  0.34767896  0.20268188  0.33079785  0.45781603  0.262867   -0.28258505]"
Co,"[-0.8842745  -0.81969476  1.0141048  -0.44608366 -0.09255332 -0.64409524
 -0.08097526  0.90968955  0.02956271 -1.0344976  -0.7170597  -0.66559154
  1.1541127  -0.17974572 -0.18307008 -0.82392466  0.7724529   0.05963195
  0.5363687   0.18659598  0.33956584 -0.5176042  -0.12075126  0.7327366
 -0.11064806  0.22330701 -0.11586025  0.3813558  -0.23155355  0.61032724]"
Cu,"[ 1.8080345e-01  5.5224445e-02  5.7896096e-01 -1.1831532e-02
 -8.3606958e-01  2.4280396e-01 -4.0084514e-01 -9.3412924e-01
 -5.1842886e-01 -2.6756972e-01  4.4250599e-01 -6.2110043e-01
  7.8587282e-01  3.4686401e-01 -1.0007353e-01 -2.1194193e-01
  2.6589724e-01 -6.2197709e-01  4.4853935e-01 -9.9688464e-01
  7.0864904e-01 -6.5734309e-01 -5.1966220e-02  8.4110582e-01
  3.9185560e-01 -6.5342975e-01 -3.8506393e-04 -3.2240269e-01
 -2.6927680e-01  4.1533983e-01]"
Kr,"[-1.644868    1.9334538  -1.5516595   1.1915525   1.9310175  -1.8757588
 -2.1791036  -1.2741745  -1.843316   -1.6997668   1.7438393  -2.037509
  2.3400912   0.9225963   1.5365515   0.87274235  0.69243914  0.51385653
  1.9843924   0.8628547  -1.9218637   1.5686736   0.88207966  0.97436124
 -0.27050504 -1.7963183  -1.9670765   2.022826    1.2526025   1.9492601 ]"
Ni,"[-0.54731166 -0.9425188   0.60461116 -0.50316006  0.2087965  -0.80711764
 -0.500512   -0.42594576  0.8200318  -0.27132338  0.04309954 -0.2186753
  0.20804542 -0.3674737   0.04826986 -0.38182664  0.5067646   0.06850614
  1.1247479  -0.03033013  0.7699589   0.04184451  0.39959237 -0.60295594
  0.4440503  -0.8708534  -0.2476493  -0.3538673   0.31585848  0.7720518 ]"
Xe,"[ 0.603269   -0.02752901 -1.0272963   0.4673334   1.7036453  -4.0483255
 -0.6844837  -4.3749714  -3.291036   -2.1108582  -1.7705382   0.6578191
  1.6243137   2.7264001  -0.05429015 -0.6112513  -1.9054217   0.47512963
 -3.51972    -1.5245012  -3.7933843   0.5889413   1.4984124   2.596212
  1.2810893  -1.4167182  -0.9926314  -0.64837843  0.83037734  1.212904  ]"
Te,"[ 0.12026784 -0.11132738 -1.4762192  -0.40201133 -0.6391931  -0.51159924
 -0.21757343 -0.27928248  0.17840733 -0.74809283 -0.64498854 -0.28161898
  0.37391666  0.23390159 -0.13527921 -0.0663694  -0.3540254  -0.44375098
  0.47578165 -0.41027206  0.02795259 -0.3988074   0.22073248 -0.16218397
 -0.2560857   0.32607254  0.69421357  1.0294175   0.02342332 -0.33472553]"
Ba,"[-0.18828262  0.02448422 -0.03269078  0.59717983  0.45631084 -0.08918423
 -0.32668608 -0.27472347 -0.75958425  0.6151215  -0.14140595  0.19186997
  0.32243836  1.1033273   0.29737943 -0.5231399  -1.0378889  -0.47543767
 -0.59257877 -1.3549404  -0.08736719  0.5714992   1.0930651   0.26720238
  0.2703687  -0.19328056  0.492187   -0.37078792 -0.90667516  1.5524101 ]"
Cd,"[-0.96949804  0.5444199  -0.20059694 -0.3492711   0.02040253  0.02219789
 -0.06324759 -1.1836367  -0.63563466 -0.07666562 -0.5588912   0.41185805
 -0.03869675 -0.23613456 -0.2772146   0.609578   -0.48340467  0.42458203
  1.1419257  -1.7396894   0.04496272  0.7601365   0.12406552 -0.7469624
  0.37443277 -0.16132829 -0.01411412 -1.3272023  -0.34213278 -0.19888838]"
Hg,"[-5.7032621e-01  7.3331952e-01 -2.7155688e-01 -5.5780280e-01
 -1.6144086e-01 -1.1530980e-01  3.8935894e-03 -3.1946146e-01
 -1.6914011e+00  8.4115875e-01  1.4118937e-01 -3.2073230e-01
  4.0004604e-02 -5.9156150e-01 -4.8804986e-01  7.7544904e-01
  1.0315643e-03  4.3802429e-02 -9.0550387e-01 -1.4652282e+00
 -4.4576782e-01  4.9597651e-01 -7.5199515e-01  7.9156852e-01
  1.4238308e-02 -4.5820045e-01  1.5345408e+00 -5.6350070e-01
 -3.3141464e-01  3.2176875e-02]"
I,"[ 0.28196877 -0.14290616 -1.6299474  -0.619512   -0.22772454  0.25952685
 -0.83043534 -0.71437925  1.0147053  -0.209485   -0.49227986 -0.1720017
  0.46186838  0.45653334 -0.69771594  0.3197464  -0.40010464 -0.5192309
  0.10894819 -0.5333806   0.07189544  0.20187347 -0.19296372 -0.20702884
  0.6778748   0.04662968  1.0327517   0.2504301   0.46135896 -0.5206837 ]"
In,"[-0.38661903 -0.23219557  0.41241828  0.5157207  -0.52284956 -0.3784939
 -0.0633554  -0.72310024 -0.8410528  -0.31993943 -0.06048122  0.12842643
 -0.08203457 -0.30554712  0.9754954   0.6261428   0.19024985 -0.05965812
  0.3155916  -1.1912787  -0.25912392 -0.8608513  -0.27380133 -1.0825672
  0.9474391  -0.17417422  0.30562222  0.39591983 -0.8989231  -0.91396827]"
Sn,"[-0.6793913  -0.22132689  0.67329794 -0.21097875 -0.5524868  -0.10582919
  0.14659497 -0.8769808  -0.7550149   0.2948823  -0.2930761  -1.0455832
 -0.20262402 -0.07992489  0.7275075   0.6616019   0.42776805 -0.36900333
 -0.47633561 -0.5625568  -0.6286793  -0.5684254   0.31626916 -0.03863014
  0.7642856   0.0202602  -0.2217983   0.9646363   0.6590904  -0.6730871 ]"
Xe,"[ 0.603269   -0.02752901 -1.0272963   0.4673334   1.7036453  -4.0483255
 -0.6844837  -4.3749714  -3.291036   -2.1108582  -1.7705382   0.6578191
  1.6243137   2.7264001  -0.05429015 -0.6112513  -1.9054217   0.47512963
 -3.51972    -1.5245012  -3.7933843   0.5889413   1.4984124   2.596212
  1.2810893  -1.4167182  -0.9926314  -0.64837843  0.83037734  1.212904  ]"
Bi,"[-0.15705626 -0.12110967 -0.5263508  -0.62483585 -0.19204159 -0.9303619
  0.9494156  -0.8374799  -0.21184266  0.7832445   0.28313285 -0.7641279
  0.4859162  -1.353701    0.86671317  0.7105628  -0.84772885 -0.77290857
  0.00697162 -1.5354779  -0.5013818  -0.19244796  0.40074128 -0.5283393
  0.65185255 -0.25214186  0.47168535  0.23617396 -0.4432664  -0.65267295]"
Hg,"[-5.7032621e-01  7.3331952e-01 -2.7155688e-01 -5.5780280e-01
 -1.6144086e-01 -1.1530980e-01  3.8935894e-03 -3.1946146e-01
 -1.6914011e+00  8.4115875e-01  1.4118937e-01 -3.2073230e-01
  4.0004604e-02 -5.9156150e-01 -4.8804986e-01  7.7544904e-01
  1.0315643e-03  4.3802429e-02 -9.0550387e-01 -1.4652282e+00
 -4.4576782e-01  4.9597651e-01 -7.5199515e-01  7.9156852e-01
  1.4238308e-02 -4.5820045e-01  1.5345408e+00 -5.6350070e-01
 -3.3141464e-01  3.2176875e-02]"
Pb,"[-0.93612665  0.33086425  0.32505095  0.39843932  0.33592847  0.32702914
  0.9066998  -0.05173536 -0.3098888  -0.23922065  0.67754114 -1.0058326
  0.78253806 -0.32011828 -0.08810472  0.63266826 -0.65884036 -0.02151159
 -0.06797135 -2.2722993  -0.12121964 -0.20222984 -0.20371635 -0.5187138
  0.70911974 -0.04520112  0.17899613  0.0177864   0.00504216 -1.3814042 ]"
Re,"[-0.411482    0.97005355 -0.06646766  0.3550253   0.55182326  0.36093634
  0.53508955  0.66179603  0.20470786 -0.07007691  0.8410176   0.30186275
  1.1326355  -0.5145905   0.926138   -0.87528104 -0.6805748  -0.9205736
  0.13439582  0.07445475  0.3861699  -0.9362864  -0.564351    0.77058357
 -0.86104965 -0.16313401 -0.18275389 -1.0547942   0.542481    0.24654989]"
Tl,"[-0.4691852   0.5155349  -0.63793933 -0.39897028 -0.13194259 -0.17203534
  0.32720473 -0.7954901  -0.61364627 -0.66131777  0.2545306  -0.52512914
 -0.19765863  0.02878034  0.41614747  0.7104867  -0.93126917 -0.54525787
 -0.31337106 -1.870658   -1.25198    -0.8424282  -0.32526708 -0.2965554
 -1.0121819  -0.39309344 -0.2439524   0.13836588 -0.07996315 -0.23298047]"
U,"[ 0.5268386   0.25872055 -0.17889829  0.6776222   0.14966896 -0.5789542
  0.27720127  0.27854884 -0.06327453  0.40251908  0.40210438 -0.3045755
 -0.11591709  0.3765798   0.8697718  -1.2696074   0.3329379  -1.5244545
 -0.03859631  0.07012109  1.0697182   1.270998    0.713908    0.3262589
 -0.24579349  0.74337417 -1.0160828   1.5107471  -0.47869748  1.0485606 ]"
W,"[-0.571331   -0.4166575  -0.55589706  0.09591904  0.26981887 -1.1430833
  1.6404965  -0.4270068  -0.12975305 -0.47435388  0.6120956   0.3416977
  1.1019291   0.062705    0.47301376 -1.1080894  -0.19815594 -0.8124063
  0.18575844  0.03145214  0.05198477  0.08725652  1.3566097   1.3449157
 -0.2172067  -0.53920215  0.32323855 -0.12899229  0.24943683  0.28816637]"
Hg,"[-5.7032621e-01  7.3331952e-01 -2.7155688e-01 -5.5780280e-01
 -1.6144086e-01 -1.1530980e-01  3.8935894e-03 -3.1946146e-01
 -1.6914011e+00  8.4115875e-01  1.4118937e-01 -3.2073230e-01
  4.0004604e-02 -5.9156150e-01 -4.8804986e-01  7.7544904e-01
  1.0315643e-03  4.3802429e-02 -9.0550387e-01 -1.4652282e+00
 -4.4576782e-01  4.9597651e-01 -7.5199515e-01  7.9156852e-01
  1.4238308e-02 -4.5820045e-01  1.5345408e+00 -5.6350070e-01
 -3.3141464e-01  3.2176875e-02]"
I,"[ 0.28196877 -0.14290616 -1.6299474  -0.619512   -0.22772454  0.25952685
 -0.83043534 -0.71437925  1.0147053  -0.209485   -0.49227986 -0.1720017
  0.46186838  0.45653334 -0.69771594  0.3197464  -0.40010464 -0.5192309
  0.10894819 -0.5333806   0.07189544  0.20187347 -0.19296372 -0.20702884
  0.6778748   0.04662968  1.0327517   0.2504301   0.46135896 -0.5206837 ]"
Sr,"[ 0.19048221 -0.09054184 -0.05214985  0.03211475  1.5044583   0.06925175
 -0.3089388  -0.9438045  -0.38504174  0.56098783 -0.79230756 -0.12156182
  0.0112202   0.32967448 -0.0594014  -0.84400755 -0.4691912  -0.38454035
 -0.66307795 -0.9588819   0.375835    0.9676032  -0.29648438  0.16575567
  0.9572256  -0.51502717  0.24329461 -0.18000929 -0.9817192  -0.07635314]"
Xe,"[ 0.603269   -0.02752901 -1.0272963   0.4673334   1.7036453  -4.0483255
 -0.6844837  -4.3749714  -3.291036   -2.1108582  -1.7705382   0.6578191
  1.6243137   2.7264001  -0.05429015 -0.6112513  -1.9054217   0.47512963
 -3.51972    -1.5245012  -3.7933843   0.5889413   1.4984124   2.596212
  1.2810893  -1.4167182  -0.9926314  -0.64837843  0.83037734  1.212904  ]"
Hg,"[-5.7032621e-01  7.3331952e-01 -2.7155688e-01 -5.5780280e-01
 -1.6144086e-01 -1.1530980e-01  3.8935894e-03 -3.1946146e-01
 -1.6914011e+00  8.4115875e-01  1.4118937e-01 -3.2073230e-01
  4.0004604e-02 -5.9156150e-01 -4.8804986e-01  7.7544904e-01
  1.0315643e-03  4.3802429e-02 -9.0550387e-01 -1.4652282e+00
 -4.4576782e-01  4.9597651e-01 -7.5199515e-01  7.9156852e-01
  1.4238308e-02 -4.5820045e-01  1.5345408e+00 -5.6350070e-01
 -3.3141464e-01  3.2176875e-02]"
I,"[ 0.28196877 -0.14290616 -1.6299474  -0.619512   -0.22772454  0.25952685
 -0.83043534 -0.71437925  1.0147053  -0.209485   -0.49227986 -0.1720017
  0.46186838  0.45653334 -0.69771594  0.3197464  -0.40010464 -0.5192309
  0.10894819 -0.5333806   0.07189544  0.20187347 -0.19296372 -0.20702884
  0.6778748   0.04662968  1.0327517   0.2504301   0.46135896 -0.5206837 ]"
Xe,"[ 0.603269   -0.02752901 -1.0272963   0.4673334   1.7036453  -4.0483255
 -0.6844837  -4.3749714  -3.291036   -2.1108582  -1.7705382   0.6578191
  1.6243137   2.7264001  -0.05429015 -0.6112513  -1.9054217   0.47512963
 -3.51972    -1.5245012  -3.7933843   0.5889413   1.4984124   2.596212
  1.2810893  -1.4167182  -0.9926314  -0.64837843  0.83037734  1.212904  ]"
Hg,"[-5.7032621e-01  7.3331952e-01 -2.7155688e-01 -5.5780280e-01
 -1.6144086e-01 -1.1530980e-01  3.8935894e-03 -3.1946146e-01
 -1.6914011e+00  8.4115875e-01  1.4118937e-01 -3.2073230e-01
  4.0004604e-02 -5.9156150e-01 -4.8804986e-01  7.7544904e-01
  1.0315643e-03  4.3802429e-02 -9.0550387e-01 -1.4652282e+00
 -4.4576782e-01  4.9597651e-01 -7.5199515e-01  7.9156852e-01
  1.4238308e-02 -4.5820045e-01  1.5345408e+00 -5.6350070e-01
 -3.3141464e-01  3.2176875e-02]"
Pb,"[-0.93612665  0.33086425  0.32505095  0.39843932  0.33592847  0.32702914
  0.9066998  -0.05173536 -0.3098888  -0.23922065  0.67754114 -1.0058326
  0.78253806 -0.32011828 -0.08810472  0.63266826 -0.65884036 -0.02151159
 -0.06797135 -2.2722993  -0.12121964 -0.20222984 -0.20371635 -0.5187138
  0.70911974 -0.04520112  0.17899613  0.0177864   0.00504216 -1.3814042 ]"
Hg,"[-5.7032621e-01  7.3331952e-01 -2.7155688e-01 -5.5780280e-01
 -1.6144086e-01 -1.1530980e-01  3.8935894e-03 -3.1946146e-01
 -1.6914011e+00  8.4115875e-01  1.4118937e-01 -3.2073230e-01
  4.0004604e-02 -5.9156150e-01 -4.8804986e-01  7.7544904e-01
  1.0315643e-03  4.3802429e-02 -9.0550387e-01 -1.4652282e+00
 -4.4576782e-01  4.9597651e-01 -7.5199515e-01  7.9156852e-01
  1.4238308e-02 -4.5820045e-01  1.5345408e+00 -5.6350070e-01
 -3.3141464e-01  3.2176875e-02]"
Hg,"[-5.7032621e-01  7.3331952e-01 -2.7155688e-01 -5.5780280e-01
 -1.6144086e-01 -1.1530980e-01  3.8935894e-03 -3.1946146e-01
 -1.6914011e+00  8.4115875e-01  1.4118937e-01 -3.2073230e-01
  4.0004604e-02 -5.9156150e-01 -4.8804986e-01  7.7544904e-01
  1.0315643e-03  4.3802429e-02 -9.0550387e-01 -1.4652282e+00
 -4.4576782e-01  4.9597651e-01 -7.5199515e-01  7.9156852e-01
  1.4238308e-02 -4.5820045e-01  1.5345408e+00 -5.6350070e-01
 -3.3141464e-01  3.2176875e-02]"
